Qty;Value;Device;Package;Parts;Description
1;ESP12;ESP12SMD;ESP12-SMD;U2;ESP8266 Wifi module 12
1;Reed Sensor;JP1E;JP1;REED;JUMPER
1;100k;R-EU_R0805;R0805;R21;RESISTOR, European symbol
1;10u;C-EUC1206;C1206;C5;CAPACITOR, European symbol
1;18650_2X;18650_2X;18650_HOLDER;B1;
1;3k3;R-EU_R0805;R0805;R1;RESISTOR, European symbol
1;50k;R-EU_R0805;R0805;R24;RESISTOR, European symbol
1;HT7333;HT7333;SOT223;P1;
2;1k;R-EU_R0805;R0805;R14, R15;RESISTOR, European symbol
3;100u;CPOL-EUE5-8.5;E5-8,5;C2, C3, C7;POLARIZED CAPACITOR, European symbol
3;10nF;C-EUC0805;C0805;C1, C4, C6;CAPACITOR, European symbol
4;AO3401;P-CH_AO3401;SOT23;U$1, U$2, U$5, U$7;
4;IRLML2502;N-CH_IRLML2502;SOT23;U$3, U$4, U$6, U$8;
7;Push Button;KSM611A;KSM611A;BTN1, BTN2, BTN3, BTN4, BTN5, GP0_BTN, RST_BTN;
10;10k;R-EU_R0805;R0805;R2, R3, R4, R5, R8, R9, R10, R11, R12, R13;RESISTOR, European symbol
10;200k;R-EU_R0805;R0805;R6, R7, R16, R17, R18, R19, R20, R22, R23, R25;RESISTOR, European symbol
